,Customer_ID,Transaction_Amount (in Million),Transaction_Time,Transaction_Date,Transaction_Type,Merchant_ID,Merchant_Category,Transaction_Location,Customer_Home_Location,Distance_From_Home,Device_ID,Card_Type,Account_Balance (in Million),Daily_Transaction_Count,Weekly_Transaction_Count,Avg_Transaction_Amount (in Million),Max_Transaction_Last_24h (in Million),Is_International_Transaction,Is_New_Merchant,Failed_Transaction_Count,Unusual_Time_Transaction,Previous_Fraud_Count,Fraud_Label,potentially_risky
0,24239.0,6.0,10:54,2025-03-08,2,97028.0,0,Singapore,Lahore,466.0,363229.0,0,30.0,4.0,17.0,2.0,4.0,1,1,0.0,0,1.0,0.0,1
1,77250.0,9.0,19:23,2025-01-17,0,27515.0,0,Singapore,Lahore,215.0,480487.0,0,4.0,4.0,9.0,5.0,8.0,1,1,1.0,0,1.0,0.0,1
2,34294.0,3.0,10:20,2025-04-30,2,13810.0,2,Faisalabad,Faisalabad,216.0,297313.0,1,38.0,5.0,18.0,5.0,8.0,1,0,0.0,1,1.0,0.0,1
3,92041.0,1.0,14:11,2025-02-21,1,10501.0,4,London,Karachi,408.0,948506.0,1,22.0,6.0,18.0,5.0,1.0,0,1,2.0,1,1.0,0.0,1
4,71578.0,1.0,04:12,2025-04-11,1,53569.0,2,Singapore,Islamabad,209.0,954201.0,1,10.0,3.0,18.0,4.0,3.0,0,1,1.0,0,1.0,0.0,1
5,31399.0,7.0,15:34,2025-04-25,1,80890.0,2,Karachi,Multan,385.0,604441.0,0,5.0,5.0,2.0,4.0,6.0,0,0,0.0,0,1.0,0.0,0
6,67878.0,9.0,09:17,2025-02-17,0,96513.0,3,Lahore,Islamabad,546.0,588577.0,0,15.0,7.0,10.0,2.0,9.0,0,0,0.0,1,0.0,0.0,0
7,40546.0,1.0,22:17,2025-03-25,0,38226.0,0,Bangkok,Faisalabad,106.0,606020.0,1,10.0,3.0,5.0,5.0,7.0,1,1,0.0,0,1.0,0.0,1
8,35799.0,8.0,05:43,2025-02-06,0,79346.0,2,Multan,Faisalabad,383.0,578150.0,1,16.0,3.0,13.0,5.0,6.0,0,1,2.0,0,0.0,0.0,1
9,26010.0,2.0,18:06,2025-02-04,0,57527.0,2,London,Multan,504.0,681527.0,0,23.0,4.0,14.0,2.0,2.0,0,1,0.0,1,1.0,0.0,1
10,81962.0,8.0,16:49,2025-02-20,2,88013.0,3,Faisalabad,Islamabad,47.0,674470.0,1,37.0,6.0,8.0,1.0,5.0,1,0,1.0,0,0.0,0.0,1
11,99439.0,5.0,23:50,2025-01-12,0,17739.0,0,Lahore,Lahore,46.0,264108.0,1,33.0,1.0,17.0,4.0,6.0,0,1,0.0,1,1.0,0.0,1
12,16647.0,4.0,11:35,2025-04-06,1,67657.0,4,London,Karachi,299.0,686419.0,0,24.0,1.0,1.0,2.0,4.0,0,0,0.0,1,0.0,0.0,0
13,67961.0,4.0,00:51,2025-03-24,0,74937.0,4,Singapore,Karachi,476.0,457873.0,0,13.0,5.0,8.0,3.0,1.0,1,1,2.0,1,0.0,1.0,1
14,71544.0,6.0,15:50,2025-03-04,1,76066.0,0,London,Multan,131.0,156352.0,0,19.0,3.0,21.0,5.0,1.0,0,1,2.0,1,1.0,0.0,1
15,80965.0,2.0,03:49,2025-01-28,0,41227.0,0,Singapore,Multan,308.0,328450.0,0,11.0,6.0,18.0,3.0,2.0,1,1,2.0,1,1.0,0.0,1
16,44495.0,6.0,19:05,2025-03-08,2,62567.0,0,Islamabad,Karachi,568.0,436709.0,1,20.0,3.0,2.0,3.0,8.0,0,0,1.0,0,0.0,0.0,0
17,11928.0,1.0,15:41,2025-01-10,1,42828.0,5,Kuala Lumpur,Faisalabad,10.0,368757.0,1,18.0,6.0,17.0,5.0,1.0,0,1,2.0,1,0.0,0.0,1
18,95277.0,8.0,13:22,2025-04-23,1,51759.0,3,Kuala Lumpur,Lahore,338.0,885330.0,0,18.0,2.0,16.0,5.0,5.0,1,0,2.0,0,1.0,0.0,1
19,46627.0,2.0,00:04,2025-04-24,2,27901.0,2,Singapore,Karachi,181.0,908400.0,0,21.0,7.0,9.0,5.0,5.0,0,1,2.0,1,1.0,0.0,1
20,84394.0,3.0,12:09,2025-02-01,0,69599.0,4,Islamabad,Multan,174.0,506553.0,0,20.0,2.0,16.0,2.0,6.0,1,0,0.0,0,0.0,0.0,0
